CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
1636362,"POINSETT SECURITIES, LLC",869596,777 LOWNDES HILL RD,STE 110,GREENVILLE,SC,29607
1636608,"IASG ALTERNATIVES, LLC",869601,141 W JACKSON BLVD,STE 1525,CHICAGO,IL,60604
1636752,DRUM CAPITAL CORP,869603,4139 VIA MARINA APT 801,,MARINA DL REY,CA,90292
1637391,"THRIVENT DISTRIBUTORS, LLC",869606,901 MARQUETTE AVE,STE 2500,MINNEAPOLIS,MN,55402
1637543,"PNFP CAPITAL MARKETS, INC.",869608,150 3RD AVE S STE 900,,NASHVILLE,TN,37201
1638005,"INSTITUTIONAL BOND NETWORK, LLC",869609,463 PENNSFIELD PL STE 201,,THOUSAND OAKS,CA,91360
1638006,"BFY SECURITIES, LLC",869610,1253 WORCESTER RD,STE 403,FRAMINGHAM,MA,1701
1638007,"PREP SECURITIES, LLC",869611,2750 RASMUSSEN RD,STE 202,PARK CITY,UT,84098
1638202,"CASTLE PLACEMENT, LLC",869612,1460 BROADWAY,FRNT 5,NEW YORK,NY,10036
1638755,"INTREPID PARTNERS, LLC",869615,540 MADISON AVE FL 25,,NEW YORK,NY,10022
1640471,MADISON PAIGE SECURITIES LLC,869621,599 LEXINGTON AVE,FL 47,NEW YORK,NY,10022
1643659,T&G PRIVATE CAPITAL LLC,869629,733 3RD AVE,FL 16,NEW YORK,NY,10017
1644948,"REVL SECURITIES, LLC",869634,1921 WALNUT ST STE 2,,PHILADELPHIA,PA,19103
1645711,"CERES SECURITIES, LLC",869637,806 HOWARD ST,STE 200,SOUTH BEND,IN,46617
1645874,"FOUNDERS M&A ADVISORY, LLC",869638,2400 5TH AVE S STE 100,,BIRMINGHAM,AL,35233
1645875,CAPITAL SUISSE LLC,869639,1000 2ND AVE,STE 3200,SEATTLE,WA,98104
1645876,"EF LEGACY SECURITIES, LLC",869640,222 S 1ST ST STE 600,,LOUISVILLE,KY,40202
1646274,NVSTR FINANCIAL LLC,869642,135 MADISON AVE,FL 5,NEW YORK,NY,10016
1647385,16 POINTS LLC,869648,10101 COND ROYAL PALM,RM 14,VEGA ALTA,PR,692
1647386,"TASTYWORKS, INC.",869649,1000 W FULTON MARKET,STE 220,CHICAGO,IL,60607
1647978,"CITIZENS CAPITAL MARKETS, INC.",869651,600 WASHINGTON BLVD,# 11,STAMFORD,CT,6901
1649000,"SENTINUS-HALO SECURITIES, LLC",869655,700 COMMERCE DR,STE 170,OAK BROOK,IL,60523
1649283,OUTSET GLOBAL TRADING LIMITED,869657,1120 AVENUE OF THE AMERICAS,STE 1503,NEW YORK,NY,10036
1650711,M1 FINANCE LLC,869670,200 N LA SALLE ST STE 800,,CHICAGO,IL,60601
1652821,HAMILTON LANE SECURITIES LLC,869675,110 WASHINGTON ST,STE 1300,CONSHOHOCKEN,PA,19428
1653382,"REPUBLIC PARTNERS, LLC",869677,2000 N RACINE AVE STE 4700,,CHICAGO,IL,60614
1654411,"ARENA FINANCIAL SERVICES, LLC",869682,405 LEXINGTON AVE FL 59,,NEW YORK,NY,10174
1654660,"Tritower Real Estate Capital, LLC",869683,60 STATE ST STE 2250,,BOSTON,MA,2109
1654971,APEXUS CAPITAL LLC,869687,321 19TH ST,,SANTA MONICA,CA,90402
