COMPANY_ID,NAME,CITY,STATE
388,PINE RIVER CAPITAL MANAGEMENT LP,AUSTIN,TX
389,ANGEL OAK CAPITAL ADVISORS LLC,ATLANTA,GA
390,FNY CAPITAL MANAGEMENT LP,NEW YORK,NY
391,COLUMBIA MANAGEMENT INVESTMENT ADVISERS LLC,BOSTON,MA
392,SOUTHERN WIND INVESTMENT INC,MIAMI,FL
393,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,MOUNTAIN VIEW,CA
394,GE CAPITAL US HOLDINGS INC,IRVING,TX
395,IOG CAPITAL LP,DALLAS,TX
396,ABS INVESTMENT MANAGEMENT LLC,GREENWICH,CT
397,TOORAK CAPITAL PARTNERS LLC,SUMMIT,NJ
398,JS CAPITAL MANAGEMENT LLC,NEW YORK,NY
399,INFRARED CAPITAL PARTNERS (US) LLC,NEW YORK,NY
400,GRAHAM CAPITAL MANAGEMENT LP,ROWAYTON,CT
401,BLUEMOUNTAIN CAPITAL MANAGEMENT LLC,NEW YORK,NY
402,BRAHMAN CAPITAL CORP,NEW YORK,NY
403,TILDEN PARK CAPITAL MANAGEMENT LP,NEW YORK,NY
404,PICUS CAPITAL AMERICAS CORPORATION,NEW YORK,NY
405,ASSET CONTROL SYSTEMS INC,NEW YORK,NY
406,BLUECREST CAPITAL MANAGEMENT (NEW YORK) LP,NEW YORK,NY
407,I SQUARED CAPITAL ADVISORS (US) LLC,MIAMI,FL
408,WINTHROP CAPITAL MANAGEMENT LLC,INDIANAPOLIS,IN
409,HATHERSAGE CAPITAL MANAGEMENT LLC,NEW YORK,CT
410,NIPUN CAPITAL LP,FOSTER CITY,CA
411,AH CAPITAL MANAGEMENT LLC,MENLO PARK,CA
412,ALLSPRING GLOBAL INVESTMENTS LLC,SAN FRANCISCO,CA
413,QIC US INVESTMENT SERVICES INC,EL SEGUNDO,CA
414,SAPLING CAPITAL LLC,SAN FRANCISCO,CA
415,GOAL INVESTMENT GROUP INC,SAN DIEGO,CA
416,DORSAL CAPITAL MANAGEMENT LLC,REDWOOD CITY,CA
417,ONE TUSK INVESTMENT PARTNERS LP,NEW YORK,NY
418,WILLIAM BLAIR INVESTMENT MANAGEMENT LLC,CHICAGO,IL
419,ONELIN CAPITAL CORPORATION,SAN JOSE,CA
420,CRESCENDO ASSET MANAGEMENT LLC,MIAMI,FL
421,CANDLESTICK CAPITAL MANAGEMENT LP,NEW YORK,NY
422,SPIRIT REALTY CAPITAL INC,SCOTTSDALE,AZ
423,TITAN GLOBAL CAPITAL MANAGEMENT INC,NEW YORK,NY
424,WALLEYE CAPITAL LLC,NEW YORK,NY
425,CAPSTONE INVESTMENT ADVISORS LLC,NEW YORK,NY
426,ACR CAPITAL LLC,NEW YORK,NY
427,FIRST EAGLE INVESTMENT MANAGEMENT LLC,NEW YORK,NY
428,SPRUCE HOUSE INVESTMENT MANAGEMENT LLC,NEW YORK,NY
